Record No.,Inventory No.,Archive Name,Archive Call Number,Archive Type,Date of Appraisal,Owner Last Name,Inv. City,Inv. Count,Inv. Country,Art Value,Inv. Value,Owner Life Dates,Marriage Date,Ceremony,Additional Names,Owner Full Name,Sex,Notary,Occupation,Purpose,Religion,Residence,Biographical Notes,Intro Text
11,4100,Gemeentearchief Amsterdam,"NA 921, fol. 122 and foll., film 1151",Notarial,1639/05/12,Loosvelt,Amsterdam,8,Nederland,1164 |d ,,1596 |d 1631  |n Rutgers; 1606 |d 1660  |n Loosvelt,1624/03/21,Pui,widow of Cornelis Rutgers,"Loosvelt, Anna van",F,C. Verbeecq,Merchant (largescale),"Inventory drawn up at the request of Anna van Loosvelt, widow of Cornelis Rutgers, for an unknown purpose.",Mennonite,Op de oude achterburchwal inde Orangie Boom in Amsterdam,"On Cornelis Rutgers and Anna van Loosvelt, see the TEXT of R 312 (INVNO 410) of 9 November 1638. There is considerable but not complete overlap between the two inventories.",Taxatie gedaen vande navolgende schilderijen by Sr. Lucas Luce ende Hendrick Uijlenburgh ten versoecke van Anna van Loosvelt weduwe van Cornelis Rutgers ten overstaen van mij Barent Jansz. Verbeeck openbaer notaris ter presentie van Cornelis Garbrantsz. Roet als getuijge.  Postscript: Aldus gepriseert opten twaelfden maij A-o 1639 ten huijse van de weduwe staende opde oude achterburchwal inde Orangie Boom.
60,144,Gemeentearchief Amsterdam,"483A FOL. 158 AND FOLL., film 4838",,1633/05/09,Martsen,Amsterdam,95,Nederland,154 |d ,,,1612/01/07; 1615/02/06,Pui,"widower first of Janneken Roelofs, second of Trijntgen Hendricxdr.","Martsen, Sijmen",M,Palm Mathijs,"Craft |a Carpenter, joiner, framemaker",death inventory,Roman Catholic,Amsterdam,"On 7 January 1612, Simon Martsz. , van Zeelant, kistemacker (coffin maker, joiner), 22, assisted by his father Marten Jansz., was betrothed to Janneke Roelofs, 21, assisted by her parents. Both were literate (DTB 667/171). On 6 February 1615, Simon Martensz., widower of Jannetje Roelofs, was betrothed to Trijn Heijnrix, widow of Herman Reijersz. (DTB 667/171). Among the books in the inventory: Sermon boeck by Hendricus Adriani (Roman Catholic) and Wegh des eeuwich levens by Pantonis Hucquet.","Inventaris van den goederen die Sijmen Martsen,in sijn leven kistemaecker metter doot ontruymt ende nagelaten heeft ende die Tryntgen Hen[dricxdr.] sijn nagelate weduwe besittende is. Geinventariseert ten versoeck van Roeloff Willemsz. als beste voe[g]d van't kind nagelaten by de selve Sijmen Maartsz. ende die hy [...] heeft [procreert ?] by Janneken Roelefs syne eerste huysvrouw was, welcke goederen getaxeert sijn by Aeltjen Claesdr. ten overstaen van Ragel Jacobs gesworen uytdraegster."
61,143,Gemeentearchief Amsterdam,"483A, omslag A, film 4838, fol.135 and foll.",,1632/06/16,Stopmes,Amsterdam,10,Nederland,,,,,,,"Stopmes, Harmen Lenertsen",M,Palm Mathijs,,death inventory,Roman Catholic,Amsterdam,"On 24 September 1587, Herman Lenertsz. Stopmes, wijnverlater, and his wife Bertgen Pieters had their son Pieter baptized in the O.K. (DTB 1/335). In 1606,, Herman Lenartsz. Stopmes, wijnkoper, living next to the Jan Roodenpoort, bought lots in the Haarlem lottery for 1 f. 16 st. (GAA, 20/2 F 133). Harmen Lendersen Stopmes, coming from the Oude Heeregracht, near the Lelystraet, was buried on 12 June 1632 (four days before the inventory was taken). The clock was rung for 2 hours on his behalf (as a Roman Catholic). 20 f. were paid for his burial (DTB 1045/44vo). Among the books in the inventory: Katholiek sermon boeck by Hendricus Adriani priester ende pastoor van St. Elisabeth gasthuijs binnen Antwerpen and Katholiek Bijbel.","Inventaris van den goederen die Harmen Lenertsen  Stopmes metter doot ontruijmt ende nagelaten heeft , geinventariseert door mij Palm Mathijs notaris ... ten versoeck van Dirckgen  Greep (?) geautoriseert bij de heeren weesmeesteren deser stadt ten overstaen van  Styn Hendrix deselfs Herman Lenertsz. dienstmaijt, twee ende twentich jaeren geweest , geassisteeert met Jan Jacobsz. haer broederssoon en Griet Solings (?) ende Jasper Ruthersz. als getugen. Postscript: Alles gedaen ten sterfhuys voorseijt ten bywesen als vooren, den 16en juni 1632."
62,145,Gemeentearchief Amsterdam,"482B, fol. 636-651, film 4838",Notarial,1632/10/14,Dirx,Amsterdam,42,Nederland,,,,,,,"Dirx, Dirckien",M,Palm Mathijs,,death inventory,Roman Catholic,Amsterdam,The crucifix above the bedstead is the evidence for the Roman Catholic religion of the collector.,damaged introduction
63,147,Gemeentearchief Amsterdam,"483A, fol. 61-64v, film no. 4838",Notarial,1638/07/07,Gerritssen,Amsterdam,75,Nederland,,,,,,and his wife Marritgen Cornelis,"Gerritssen, Davidt",B,Palm Mathijs,Services |a Barber/surgeon,death inventory,Roman Catholic,Amsterdam,"The surgeon David Gerritsz. may be identical with Mr. David barbier of R 27513 of Montias2.  Mr. David paid a tax of 5 f. in 1631, at which time he lived in the Pijlsteech (Kohier, fol. 84, p. 20). On 14 September 1638, Maritge Cornelis appeared before the Orphan Chamber to present her son Gerrit, 1 1/2 years old, whose father was David Gerritsz. van Muerten, surgeon. The child was entitled to 800 f. from his father's inheritance (WK 5073/789). The guardians of Gerrit Gerritsz. were Lysbeth and Weyntien Gerrits who were presumably his paternal aunts.  The fact that Mr. David Gerritsz.  owned a Catholiek sermon boeck suggests that he may have been Roman Catholic.","Inventaris van den goederen die Mr. Davidt Gerritsen... metter doot ontruymt ende nagelaten heeft ende die Marritgen Cornelisdr. sijn huysvrouw is besittende , geinventariseert ten versoeck van Lysbeth Gerrits ende Weyntien Gerrits als ... voogden van't naegelaten kint Gert Gerritsz."
66,150,Gemeentearchief Amsterdam,"1266A, act no. 6[A], film 1345",Notarial,1637/07/11,Bas,Amsterdam,31,Nederland,473 |d  10 stuivers,,1607 |d 1636; ? |d 1637/07/10,11/08/1630,,and Immetge Vinck,"Bas, Claes",B,Barcman,"Merchant (largescale) |a Wine, brandy",death inventory,Reformed/Remonstrant,Op de Nieuwesijds Voorburchwal tegens over de Melckmarckt in Amsterdam,"Claes Bas, baptized in the O.K. in Amsterdam on 6 May 1607, wine dealer, lived, first, in Alkmaar, but died on the Heregracht (burial 20 October 1636). He signed the Remonstrant petition of 1628.  He was betrothed to Immetge Vinck in Alkmaar on 11 August 1630. On 24 November 1636, Jannetge (Immetgen) Vincken, widow of Claes Bas, assisted by her brother (in-law) Pieter Bas (II), named Phillip Vincon (cited in the NOTES to R 24944 of Montias2) to collect money for wines delivered (NA 843, fol. 1389, Not. Hoogeboom).  She was buried in Amsterdam on 10 July 1637. Claes Bas was the son of Pieter Jacobsz. Bas (1566-1633), grain dealer and merchant, who was associated with Hans van Loon of R 7696 of Montias2, and of Maria Overlander. Claes Bas left 100,000 f. to his heirs. Maria Bas, the daughter of Claes Bas and Immetgen Vinck, baptized on 29 May 1633, married Dr. Jan Deyman on 19 November 1658 (Anatomy lesson by Rembrandt). He was the son of Wolphert Deyman, sea captain, and Maria Troncquoy (Elias, Vroedschap, pp. 250-1). For Jan Deyman's death inventory, see INVNO 452 of 23 March 1668.  Maria Troncquoy was probably the daughter of Jan Tronquoij of INVNO 955. Cornelis de Graef, cited in the INTRO, was commissary for small affairs in 1631 and captain of the militia in 1642. Frans Banning Cocq was the captain of the company portrayed in Rembrandt's Night Watch.","Inventaris van sekere meublen bij wijlen Claes Bas in sijn leven coopman binnen deser stede, ende Immetge Vinck des selfs huijsvrouw metter doot ontruijmt ende naergelaten, bevonden ter laester woonplaetse vande voors. Immetge Vinck etaende binnen deser stede opde Nieuwesijds Voorburchwal tegens over de Melckmarckt, ten respective plaetsen hier nae genomineert. Postscript: Aldus geinventariseert ende getaxeert respectivelijck door mij ondergeschr. notaris ende Aeltge Claes , met Engel Jacobs gesworen schatsers, ten versoecke vande heeren dr. Pieter Bas, dr. Frans Benning Cocq [schepen] ende Cornelis de Graeff als voochden over d'onmondige kinderen vande voors. Claes Baes ende Immetge Vinck, ende ten overstaende vande gemeene vrunden mitsgaders ter presentie van Simon de Braj ende Dirck Vis als getuigen [in the margin: In Amsterdam den elffden Julij 1637]"
67,151,Gemeentearchief Amsterdam,"NA 1266, act no. 42, film 1346",Notarial,1636/04/19,Duurcoop,Amsterdam,30,Nederland,,,,,,,"Duurcoop, Abraham Janss",M,Pieter Barcman,"Merchant (largescale) |a Wine, brandy","Inventory of goods located in the owner's domain,",probably Reformed,Amsterdam,Abram Jansz. Duurcoop was a wine dealer.,"Inventaris gedaen maecken bij Sr. Aldrick Stijen uijt de name ende van wegen Abraham Janss Duurcoop wijncoper binnen deser stede Amsterdam, van de meuble ten woonstede van de voors. Duurcoop bevonden op de respective plaetsen hier nae genaemt. Postscript: Aldus geinventariseert in Amsterdam ten voors. huyse door my onderges. notaris met Frans Jansz. ende Jan Jansz. here dienaer  als getuijgen hierover gestaen den 19en april 1636."
68,152,Gemeentearchief Amsterdam,"1266B, act no. 3, film 1346",Notarial,1639/11/18,Strijcker,Amsterdam,36,Nederland,,,1589 |d 1639/03/30 (Strijcker),21/12/1628,K (Reformed Church),goods owned in common with his widow Agnes Vuijstigh,Dirck Strijcker,B,Barcman,"Retail merchant |a Apothecary, drogist",death inventory,probably Reformed,"In de Herengracht, westzijde, bij de Huidenstraat in Amsterdam","Dirck Pietersz. Strijcker, born in 1589, son of Pieter Strijcker Dircksz., substituut schout, and of Remburch Gerritsdr. Casembroot, apothecary and bode op Ceulen, married 1) Elisabeth Taillers (or Tellers) (28 Jan. 1618) and 2) Agnietgen Dircksdr. Ruystens (14 January 1629), who survived him. (Elias, Vroedschap, p. 1153). It may have been his son Dirck Strijcker II who signed the February 1645 petition calling for the strict enforcement of the currency regulations of 1622 (Van Dillen, Wisselbanken, R.P.G. 59(1925), p. 89). It was probably the same  son who was betrothed to Aechje Jans on 16 April 1639 (DTB 450/307). For details, see the NOTES to R 20896 of Montias2.","Staet en inventaris by Agnes Vuystigh, weduwe van Dirck Strijcker, doen maecken van alle de goederen by haer met de voors. Strijcker tesamen beseten ende bij den voorenden Strijcker metter doot ontruijmt op den 30 marty 1639, om de selve aen te leveren ofte te handen te stellen aen Cornelis Jacobsz. Reael raed dese stede ende Johannes Wuystingh als testamentaire mombers over alle de kinderen van zal. Dirck Strijcker voors. Postscript: Compareerde d'eerbare Angnes Vuijstig weduwe van wylen  Dirck Strijcker in syn leven coopmans bode op Keulen die welcke amplierende 't gene volcht te wesen den oprechten staet en inventaris van alle de goederen by den voors. Strycker met der voors. Vuysting tesamen beseten ende by de selven Strijcker metter doot ontruijmt ende naergelaten, Belovende met alle 't gene hier naemals noch te haerer kennisse soude mogen comen, ende inden inventaris toegestelt te syn, den selven inventaris getrouwelyck te sullen amplieren mitgaders de in en uytshulden in desen niet geexpresseert  by haer den acte te sullen speficiren. Aldus gedaen in Amsterdam den achtiende november 1639 in presentie van Simon de Bray ende Cornelis Molensteen getuygen hier overgestaen. Signed Angnes Vuystig, weduwe van Dirck Stryker, etc.. Second postscript: Compareerde Anges Vuystigh .... verclaerde (voor so veel haer bekent is ) in den gemelten inventaris, ende dese ampliatie, begrepen te sijn de gehelen staet van den boedel by haer comparant met de voorn. haren man tesamen beseten, ende by den selve metter doot ontruijmt ende naegelaten heeft, beloven in cas hier nae noch eeties aen den voors. boedel concernerende thaer kennisse noch te comen 't selve mede getrouwelijcken sullen openbaeren."
73,157,Gemeentearchief Amsterdam,NA 1183,,1639/03/14,Dircx,Amsterdam,49,Nederland,,,,,,widow of Garbrant Gaerloffsen,"Dircx, Maria",F,J. de Vos,"Craft |a Cooper, wheelwright",death inventory,Roman Catholic,achter de groote Vleeshal in de drie Kemphanen in Amsterdam,"The late Garbrant Gaerloffsz. was a cooper. His son (already deceased)  was named Dirck Gerloffsz. (see INTRO). Willempje Cornelis, widow of the surgeon Harmen Sijmonsz., may have been the sister of Dirck Gerloffsz.'s widow Lijsbeth Cornelis. The Roman Catholic faith of the collector was inferred from the crucifixes in the collection.","Inventaris van de goederen achtergelaten ende laest metter doot ontruijmt bij Maria Dircx weduwe wijlen Garbrant Gaerlofssen kuijper , beschreven ende geinventariseert bij mij Jan de Vos notaris  ..... ten versoecke van Lijsbeth Cornelis weduwe wijlen Dirck Garbranssen ende Willempie Cornelis weduwe wijlen Mr. Harmen Sijmonsz. chirurgijn , geinstitueerde erffgenamen van der voors. Marrij Dircx ten bijwesen van Gerrit Elias chirurgijn en Teunis Willemsz. Harnaij man ende voogt van Marritge Elias, de selve bevonden als volcht. Postscriptum: Aldus gedaen binnen Amsterdam ter presentie van Thonis Heck ende Cornelis Mathijsz. den 14-en maert 1639"
77,161,Gemeentearchief Amsterdam,"NA 1266, act nr. 12, film nr. 1346",Notarial,1639/04/21,Coninx,Amsterdam,190,Nederland,,,? |d 1639/03/28  |n Aert de Coninx; 1606/12/28 |d ? Van Beusecum,,,and goods belonging to Paulijntge van Beusecum and Pieter Conings,"Coninx, Aert, de Oude",B,Barcman,"Artisan |a Goldsmith, jeweler",death inventory and partial division of assets,,Op de westzijde van de Herengracht in Amsterdam,"Aert de Conincx II, here called de oude, was the son of Aert Conincx I, from Antwerp, who, as widower of [...] de Moor, remarried in Dordrecht with Hester van Baerle  in 1593. Aert de Conincx I died shortly before 24 December 1602 when Jan Gerritsz. Vriesenborch, as husband and guardian of Susanna Coninx I; Hans Caluwaert as having married AbigaÃ«l Coninx; and Daniel Coninx I, for themselves and in the place of Aert Conincx II (den jongen); and as guardians of the children of minor age of Neeltgen Coninx, all heirs of Aert Coninx den Ouden (I), drew up a procuration in Dordrecht (Bredius, KÃ¼nstler-inventare, p. 34 of NachtrÃ¤ge). On 12 March 1619, Pieter and Aert de Coninck, uncles, together with Hans Calvaert (Caluwaert), uncle by marriage, of the children left by Daniel Coninck, married to Susanna de Moor, declared that these children had inherited f. 405:12:-- in cash and a house located in Dordrecht (Orphan Chamber appearance cited by Briels, Vlaamse schilders, p.348). This document proves that Pieter de Coninck I and Aert de Coninck I were brothers (both uncles of the children of Daniel de Coninck I). Hans Caluwaert signed the Remonstrant petition of 1628.   Aert de Conincx II (called de oude after his father's death and after his son Aert de Conincx III had passed his childhood),  a jeweller, was the father of the painters Jacob and Philips de Conincx (Coning), of the jewellers Aert de Coning III and of Daniel de Coning (II), of David de Conincx, who shipped beer from Amsterdam to Rotterdam (see below) and at one time  worked for the V.O.C., and of Pieter de Coning II, called merchant in a deposition by Abraham Furnerius (the Rembrandt pupil) of 13 June 1643 (Bredius, op.cit. pp.1644-5). On 7 March 1642, David de Coningh, beer shipper from Amsterdam to Rotterdam, Jacob de Coningh, painter in Rotterdam, and Daniel de Coningh, diamond polisher (diamantslijper) sold for 2,300 f. their half share in a house on the East side of the Keisersgracht, between the corner house of Abraham Stoffels and the house of the notary Barend Jansz. Verbeeck (Bredius, op.cit. p.1369).  Besides these six sons, Aert de Conincx II had two daughters, Jannetje and Maria de Coning. It was probably at the request of Pieter de Coning II (the son above-named) that the first inventory cited in the INTRO was drawn up. He should not be confused with Pieter (de) Coning I, goldsmith and jeweller, of R 28901 of Montias2. It is not clear how Paulijntje van Beusecom, the daughter of Hans van Beusecom of R 21330, baptized on 28 December 1606 (DTB 4/184), who also claimed some goods in the inventory, including her own portrait at R 1809 of Montias2,  was related to the Conings. She may possibly have been the wife of Pieter de Coning II. The painter  Salomon de Koninck was Pieter (de) Coning I's son. If Pieter (de) Coningh I  was the brother of Aert Conincx I and of Daniel Conincx I, which is possible in view of his standing surety for Daniel in 1608 (R 27979 of Montia2), then Salomon was the cousin of Aert de Conincx's six sons. In 1607, Aert de Conincx II was called diamond cutter (diamantsnijder) (Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven, R.G.P., 69(1929), p. 641). He was married to Anneken de Moor (Bredius, op.cit. p.156).  On 22 January 1630, Aernout Konincx (undoubtedly identical with Aert de Conincx II) and his wife (unnamed), together with Aert, Maria, and Pieter de Koninck  were invited to the wedding of Bernard de Moor and Clara van Capelle and there to ask also after Philips and Janneken Konincx (who were also presumably related, even though Philips was only 10 years old) (Nederlandse Leeuw, 44(1926), col. 9). David de Moor, who was also invited, seems to have been the brother of Bernard de Moor. He later became the guardian of the children of Aert de Coninck. (Both were undoubtedly related to Aert's wife Anneken de Moor, but the precise relation could not be ascertained). In 1631, Arent Conincx (II), living on the Keysersgracht, paid a tax of 100 f. (Kohier, fol. 97vo, p. 23). Aert de Coninck (II)  was buried on 28 March 1639 (DTB 1100A/33). On 23 March 1640, Jacob Valckenier brought 3,800 f. to the Orphan Chamber on behalf of the children and heirs of Aert (de) Koningh, jeweler, and his wife, among whom were two children of minor age, Philips, 20, and Daniel, 22 (on whom see below).  They inherited a number of assets, among which was their father's  house on the Keysersgracht (West side), which lay next to that of alderman Joris Jorisz. (Backer) (of R 8340 of Montias2). On 19 February 1641, Philips, being already married, received 1,500 f. from his guardians Jacob Valckenier and David de Moor (WK 5073/789). On 9 September 1641, Jacob Coning, painter, living in Rotterdam, and David Coning sold to Maillaert Brest a third part in their late father's house on the West side of the Keizersgracht. On 25 November of the same year, Daniel Coning, diamond polisher, sold to the same Brest (cited in the TEXT of R 1112 of Montias1)  another sixth part; the brothers Aert, Pieter, and Philips Coning sold the other half of the house on 28 January 1642 (Oud Holland 1(1883), p. 305).  Aert de Conincx II left a widow named Cornelia Tambaert, who sold her brother-in-law Pieter Coningh II, the sixth part in two houses on the Prinsengracht (ibid.)   On 2 May 1647, sinjeur Jacob de Coninck, painter, living in The Hague, sold Francoys Strick in Amsterdam the sixth part in some jewels which were deposited with his brother Pieter (II) there (ibid. p.307). Aert Coningh III was baptized as an adult in the Remonstrant church on 31 October 1641. The insolvent inventory of Cornelia Tambaert, the widow of Aert Coningh II, was taken on 22 February 1647.  She lived on the Prinsengracht daer de Roode Robijn Ring uijthangt (DBK 5072/352). Daniel Conincx II, who was 22 in 1640, was born circa 1618. He cannot therefore be identical with Daniel Coning I (of R 27979 of Montias2), who was the beneficiary of an obligation issued in 1611 (cited in the INTRO). It was probably Daniel Coning II who settled in England and was the father of Daniel Coning III who was born about 1668 (when his father was already 50). Daniel III became a pupil of his granduncle Jacob Coningh, the son of Aert de Conincx II, in Denmark in 1690 (Bredius, op.cit. p. 166).  David Questier, one of the witnesses to the present inventory, was the son of Salomon Davidsz. Questier, pumpmaker, from Leiden. He was 14 years old in 1637 and thus only 16 at the time he signed the inventory. He was the brother of Petronella Questier who married the architect Philips Vingboons (of R 20143) on 21 April 1645. He was a dealer in lead. He was buried on 17 April 1663 (Oud Holland 27(1909), pp. 198-200). Jan Colijn (II), cited in the INTRO, was probably the son of Jan Colijn I of INVNO 758. He was born about 1591 (see the TEXT of R 661).","Inventaris van sekere meublen gemaeckt ten versoecke ende op't aengeven van Sr. Pieter Conings , de welcke verclaerde d'selve hem in eijgendom to competeren , item van verscheijde meublen de welcke Paulintje van Beusecum (so sij verclaerde) te behoren, sijnde bij ijder partije die sij sustineert van den overledene te schenck ontfangen ofte gecocht hebben, sulcx express[elijck] genoteert. Postscript: Aldus geinventariseert binnen Amsterdam den en twentichsten maij xvC negen en dertich ter presentie van Sr. Salomon  de Braij ende Jan Colyn getuygen hier overgestaen waernae de voors. Paulijntge van Beusecom op den achtien julij heeft seeckere memoriken met haer eijgen hant geschreven ende ondertekent bij 't welcken gespecificeert worden sekere goederen, waermede desen inventaris wert geamplieert, bestaende de voors. goederen in gene volcht. [No works of art].  Notice preceding the inventory of Aert Coninx: Staet ende Inventaris van de boedel bij wijlen Sr. Aert Coninx den ouden metter doot ontruijmt ende naergelaten, gemaeckt ten versoecke van de kinderen ende erffgenamen van de voors. Conings sijnde de voors. goederen bevonden in den sterffhuijse vande voors. Conings staende binnen deser stede op de West zijde van de Keysersgracht ten respective plaetsen hier nae genomineert. Among the assets listed: een schepenen kennisse van 48 f. ten laste van Valerius van der Hoeve schilder  ten behoeve van Daniel Conincx voor schepenen deser stede op den 12 julij 1611 gepasseert.  Postscriptum: Geinventariseert den 19 April 1639 ter presentie van David de Moor ende Sr. Sijmon Coninx den 14- en ditto van de voors. de Moor ende Simon (sic)  de Braij den 15 dito van de voors. de Braij ende Jan Colijn, den 18 ende 22 ditto van de voors. de Moor ende Coninx, den 27 ende 28 ditto van Sr. Jan van Bronchorst ende de vooren de Moor, den ii maij van de voors. de Braij ende David Questier ende den 17 ditto van de voors. de Moor ende de Braij als getuijgen hiertoe respect. versocht ende overgestaen."
