Source,Target
Anna van Loosvelt,Cornelis Rutgers
Sijmen Martsen,Janneken Roelofs
Sijmen Martsen,Trijntgen Hendricxdr.
Sijmen Martsen,Herman Reijersz.
Trijntgen Hendricxdr.,Herman Reijersz.
Harmen Lenertsen Stopmes,Bertgen Pieters 
Harmen Lenertsen Stopmes,Pieter Stopmes
Harmen Lenertsen Stopmes,Jan Roodenpoort
Davidt Gerritssen,Marritgen Cornelis 
Davidt Gerritssen,Lysbeth Gerrits
Davidt Gerritssen,Weyntien Gerrits
Davidt Gerritssen,Gerrit Gerritsz.
Marritgen Cornelis ,Lysbeth Gerrits
Marritgen Cornelis ,Weyntien Gerrits
Marritgen Cornelis ,Gerrit Gerritsz.
Claes Bas,Immetge Vinck
Claes Bas,Pieter Bas (II)
Claes Bas,Phillip Vincon
Claes Bas,Pieter Jacobsz. Bas
Claes Bas,Hans van Loon
Hans van Loon,Pieter Jacobsz. Bas
Maria Overlander,Hans van Loon
Claes Bas,Maria Overlander
Maria Bas,Immetge Vinck
Claes Bas,Maria Bas
Claes Bas,Jan Deyman (Deijman)
Claes Bas,Wolphert Deyman (Deijman)
Jan Deyman (Deijman),Maria Troncquoy (Trounquoij)
Jan Tronquoij (Tronquoy),Maria Troncquoy (Trounquoij)
Claes Bas,Maria Troncquoy (Trounquoij)
Claes Bas,Jan Tronquoij (Tronquoy)
Claes Bas,Cornelis de Graef
Claes Bas,Frans Banning Cocq
Abraham Janss Duurcoop,Sr. Aldrick Stijen
Abraham Janss Duurcoop,Frans Jansz. 
Abraham Janss Duurcoop,Jan Jansz.
Agnes (Agnietgen Dircksdr. Ruystens) Vuijstigh,Dirck Strijcker
Agnes (Agnietgen Dircksdr. Ruystens) Vuijstigh,Pieter Strijcker Dircksz.
Agnes (Agnietgen Dircksdr. Ruystens) Vuijstigh,Remburch Gerritsdr. Casembroot
Agnes (Agnietgen Dircksdr. Ruystens) Vuijstigh,Elisabeth Taillers (Tellers)
Agnes (Agnietgen Dircksdr. Ruystens) Vuijstigh,Dirck Strijcker II
Dirck Strijcker,Pieter Strijcker Dircksz.
Dirck Strijcker,Remburch Gerritsdr. Casembroot
Dirck Strijcker,Elisabeth Taillers (Tellers)
Dirck Strijcker,Dirck Strijcker II
Pieter Strijcker Dircksz.,Elisabeth Taillers (Tellers)
Aechje Jans,Dirck Strijcker II
Dirck Strijcker,Aechje Jans
Agnes (Agnietgen Dircksdr. Ruystens) Vuijstigh,Aechje Jans
Maria Dircx,Garbrant Gaerloffsen
Maria Dircx,Dirck Gerloffsz.
Maria Dircx,Willempje Cornelis
Maria Dircx,Harmen Sijmonsz.
Garbrant Gaerloffsen,Dirck Gerloffsz.
Garbrant Gaerloffsen,Willempje Cornelis
Garbrant Gaerloffsen,Harmen Sijmonsz.
Willempje Cornelis,Harmen Sijmonsz.
Aert Coninx de Oude (II),Paulijntge van Beusecum 
Aert Coninx de Oude (II),Pieter Conings
Aert Coninx de Oude (II),Aert Coninx I
Aert Coninx de Oude (II),Hester van Baerle
Aert Coninx de Oude (II),Jan Gerritsz. Vriesenborch
Aert Coninx de Oude (II),Susanna Coninx I
Aert Coninx de Oude (II),Hans Caluwaert
Aert Coninx de Oude (II),Abigael Coninx
Aert Coninx de Oude (II),Daniel Coninx I
Aert Coninx de Oude (II),Neeltgen Coninx
Aert Coninx de Oude (II),Pieter de Coninck
Aert Coninx de Oude (II),Aert de Coninck
Aert Coninx de Oude (II),Hans Calvaert (Caluwaert)
Aert Coninx de Oude (II),Aert de Conincx III
Aert Coninx de Oude (II),Jacob de Conincx
Aert Coninx de Oude (II),Philips de Conincx (Coning)
Aert Coninx de Oude (II),Daniel de Coning II
Aert Coninx de Oude (II),David de Conincx
Aert Coninx de Oude (II),Pieter de Coning II
Aert Coninx de Oude (II),Abraham Furnerius
Aert Coninx de Oude (II),Abraham Stoffels
Aert Coninx de Oude (II),Barend Jansz. Verbeeck
